N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
80,GS건설,"43,450","1,200",+2.84%,"5,000","37,146","85,491",26.22,"1,415,732",11.17,7.68,
81,팬오션,"6,830",270,+4.12%,"1,000","36,511","534,570",10.87,"28,348,842",39.48,3.25,
82,한국항공우주,"37,400",900,+2.47%,"5,000","36,456","97,475",13.63,"1,392,511",48.83,6.39,
83,GS,"38,950",0,0.00%,"5,000","36,191","92,915",18.09,"262,016",-15.20,-2.82,
84,롯데쇼핑,"127,000","2,000",+1.60%,"5,000","35,927","28,289",12.27,"111,762",-4.57,-7.70,
85,현대차2우B,"97,700",400,+0.41%,"5,000","35,646","36,485",60.65,"58,065",19.00,N/A,
86,롯데지주,"33,650",750,+2.28%,200,"35,302","104,909",10.90,"225,986",-17.96,-3.03,
87,삼성증권,"39,250",250,+0.64%,"5,000","35,050","89,300",27.04,"252,871",7.45,8.15,
88,호텔신라,"87,200",200,-0.23%,"5,000","34,224","39,248",18.49,"422,721",-12.31,-36.74,
89,두산퓨얼셀,"50,900","1,900",+3.88%,100,"33,336","65,494",18.40,"641,297",263.73,4.18,
90,키움증권,"127,000",500,-0.39%,"5,000","33,018","25,998",23.07,"97,842",5.60,16.97,
91,동서,"32,900",400,-1.20%,500,"32,801","99,700",3.88,"402,515",28.02,8.61,
92,NH투자증권,"11,500",100,+0.88%,"5,000","32,362","281,409",16.33,"823,628",5.99,10.32,
93,DB손해보험,"45,500",200,+0.44%,500,"32,214","70,800",42.01,"176,446",5.80,6.92,
94,SK케미칼,"270,000","5,000",+1.89%,"5,000","31,702","11,741",20.35,"116,231",14.01,30.49,
95,씨에스윈드,"74,700","3,400",+4.77%,500,"31,502","42,171",9.61,"950,256",52.09,9.92,
96,에스원,"82,700","1,000",+1.22%,500,"31,425","37,999",56.09,"75,994",22.12,10.48,
97,만도,"66,400",100,+0.15%,"1,000","31,180","46,957",24.19,"446,793",539.84,0.37,
98,일진머티리얼즈,"66,900","2,900",+4.53%,500,"30,848","46,111",9.02,"395,846",69.40,8.52,
