N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 08월 01일 (Sun)
1#,[뉴스 정치]#,"1. 이준석의 끊임없는 안철수 압박, ""협상시한 다음주""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=029&aid=0002690000
2#,[뉴스 정치]#,"2. [국정농담] 文·김정은, 中시진핑 끼고 내년 베이징서 만나는가#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=011&aid=0003944218
3#,[뉴스 정치]#,"3. 신동근 ""기본소득 반대글 올렸다가 핀잔 들었다"" 폭로…이재명측 겨냥#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=421&aid=0005514447
4#,[뉴스 정치]#,4. 尹 전격 입당 파장...與 '명낙' 공방 가열#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001621688
5#,[뉴스 정치]#,5. 검은색 페인트 덧칠된 '쥴리 벽화'…청주선 '새 벽화' 예고#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=277&aid=0004946684
6#,[뉴스 경제]#,1. 제974회 로또 1등 17명→13억씩…11명 자동선택(종합)#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=003&aid=0010640244
7#,[뉴스 경제]#,"2. ""8월 MSCI편입 종목 주목하라""...1순위는 이 종목#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=215&aid=0000975367
8#,[뉴스 경제]#,"3. ""충분하다""는 주택 공급...공급량 뻥튀기? 돌려막기?#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=052&aid=0001621680
9#,[뉴스 경제]#,"4. 974회 로또 당첨번호 '1, 2, 11, 16, 39, 44' 1등 17명 각 13억#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=629&aid=0000098246
10#,[뉴스 경제]#,"5. ""정부 믿었는데…전세값 폭등"" 40대 가장 청원글#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=031&aid=0000615301
11#,[뉴스 IT/과학]#,"1. 열풍 훅 꺼진 클럽하우스, 초대장 없앤다고 흥할까#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=006&aid=0000109016
12#,[뉴스 IT/과학]#,2. “이름만 바꿔 가격 올려” 상해반점이 쿠팡에선 ‘홍콩반점’ 돌변?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001869033
13#,[뉴스 IT/과학]#,"3. ""치킨 최소 2시간""…올림픽 '빅매치데이'에 현실된 배달대란#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=008&aid=0004624727
14#,[뉴스 IT/과학]#,"4. 전국서 제일 뜨거운 당근마켓 서울 강남, ‘명품’ 거래#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001869027
15#,[뉴스 IT/과학]#,5. 70만원대 삼성 '갤럭시 탭S7 FE'…정말 '가성비' 떨어질까 [배성수의 다다IT선]#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=015&aid=0004586028
16#,[뉴스 CNBC]#,1. CDC says 74% of people infected in Massachusetts Covid outbreak were fully vaccinated#,https://www.cnbc.com/2021/07/30/cdc-study-shows-74percent-of-people-infected-in-massachusetts-covid-outbreak-were-fully-vaccinated.html
17#,[뉴스 CNBC]#,"2. This family traded in a $4,200-a-month mortgage for a $14,000 RV--and they're never going back#",https://www.cnbc.com/2021/07/30/why-this-family-traded-a-5-bedroom-house-in-california-for-an-rv.html
18#,[뉴스 CNBC]#,3. A Harvard-trained doctor shares the 'super easy' stretch she does every day to relieve lower back pain#,https://www.cnbc.com/2021/07/30/sports-medicine-specialist-shares-the-stretch-she-does-every-day-to-prevent-lower-back-pain.html
19#,[뉴스 CNBC]#,4. The national ban on evictions expires today. These groups are most at risk#,https://www.cnbc.com/2021/07/31/the-national-ban-on-evictions-expires-today-whos-at-risk-.html
20#,[뉴스 CNBC]#,5. Here's how much Olympic athletes earn for winning medals#,https://www.cnbc.com/2021/07/29/tokyo-olympics-how-much-athletes-earn.html
20#,[경제 환율]#,"1,152.00@5.50(+0.48%) 상승"
21#,[경제 나스닥]#,"14,672.68@105.58(-0.71%) 하락"
22#,[경제 SP]#,"4,395.26@23.89(-0.54%) 하락"
