N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 07월 30일 (Fri)
1#,[뉴스 정치]#,"1. “에어컨 전기료 지원” “남북 교환학생”… 여권, ‘공약 무리수’  남발#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=023&aid=0003630664
2#,[뉴스 정치]#,"2. 윤석열, 친윤계 논란에 ""입당요구, 계파로 봐야하는지 의문""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=421&aid=0005513607
3#,[뉴스 정치]#,"3. 윤석열 ""불확실성 종식 위해 입당…지지율·네거티브는 이유 아냐""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=448&aid=0000335476
4#,[뉴스 정치]#,"4. 추미애 “야당, 정치검사 윤석열 받아들인 후과 감당해야”#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=022&aid=0003605568
5#,[뉴스 정치]#,"5. ""검찰 중립을 낮술처럼 마셔버렸다""... 윤석열 입당 깎아내린 與#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=469&aid=0000620902
6#,[뉴스 경제]#,1. “서울대 청소노동자 ‘직장 내 괴롭힘’ 해당” 결론…근거는?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=056&aid=0011093017
7#,[뉴스 경제]#,"2. 임대차법 1년, 전월세 시장 변화는?#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=056&aid=0011093004
8#,[뉴스 경제]#,"3. 韓 최고부자 바뀌었다…'흙수저' 김범수, 이재용 제치고 1위#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=448&aid=0000335470
9#,[뉴스 경제]#,"4. 아파트 증여 급증…""사면 오른다"" 빌라 거래도 아파트 추월#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=448&aid=0000335469
10#,[뉴스 경제]#,"5. 中, 내달 수출 증치세 환급 2차 폐지…포스코·동국제강 '수혜'(종합)#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=003&aid=0010639464
11#,[뉴스 IT/과학]#,"1. “싸게 주고, 문 닫습니다”…2개 화면 LG윙 110만→9만원#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001868906
12#,[뉴스 IT/과학]#,"2. 국제우주정거장, 정상궤도 이탈 '소동' [우주로 간다]#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=092&aid=0002229430
13#,[뉴스 IT/과학]#,"3. 삼성 '기술 초격차' 강조한 다음날…마이크론 ""세계 최초 176단 낸드 양산"" 발표#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=469&aid=0000620892
14#,[뉴스 IT/과학]#,4. “내 아이스라떼 다 녹네” 한여름 ‘맨손 배달’ 어쩌나#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001868894
15#,[뉴스 IT/과학]#,5. 코로나 '돌파감염'은 중화항체 양에 달려...'부스터샷' 맞아야하나#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=008&aid=0004624568
16#,[뉴스 CNBC]#,1. CDC warns delta is as contagious as chickenpox and may make people sicker than original Covid#,https://www.cnbc.com/2021/07/30/delta-cdc-warns-variant-is-as-contagious-as-chickenpox-may-make-people-sicker.html
17#,[뉴스 CNBC]#,2. Dr. Gottlieb estimates up to 1 million Americans being infected with Covid daily as delta spreads#,https://www.cnbc.com/2021/07/30/dr-scott-gottlieb-estimates-up-to-1-million-americans-infected-with-covid-daily-as-delta-spreads.html
18#,[뉴스 CNBC]#,"3. S&P 500 falls amid Amazon letdown, but still on track to wrap up sixth positive month in a row#",https://www.cnbc.com/2021/07/29/nasdaq-futures-fall-as-stocks-try-to-round-out-strong-july.html
19#,[뉴스 CNBC]#,4. Teen who flew to space with Jeff Bezos never shopped on Amazon (but there's a reason)#,https://www.cnbc.com/2021/07/29/why-oliver-daemen-told-jeff-bezos-hed-never-shopped-on-amazon.html
20#,[뉴스 CNBC]#,5. Why this couple moved most of their money from mutual funds to ETFs after the 2008 market crash#,https://www.cnbc.com/2021/07/29/how-to-use-etfs-to-invest-in-the-stock-market-and-retire-early.html
20#,[경제 환율]#,"1,149.50@3.00(+0.26%) 상승"
21#,[경제 나스닥]#,"14,778.26@15.68(+0.11%) 상승"
22#,[경제 SP]#,"4,393.07@26.08(-0.59%) 하락"
