N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 07월 19일 (Mon)
1#,[뉴스 정치]#,"1. 尹, 향응 의혹에 ""악의적 오보""…崔는 오세훈 예방#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=422&aid=0000495740
2#,[뉴스 정치]#,"2. 윤석열, 이재명 형수 막말 논란에 ""근거 있다면 얼마든 설명해야""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=003&aid=0010616371
3#,[뉴스 정치]#,"3. 선거법 위반 거론한 이낙연...이재명 ""흑색선전부터 봐라!""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001616312
4#,[뉴스 정치]#,"4. 삼부토건 접대 의혹 제기된 윤석열...""악의적 오보""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001616311
5#,[뉴스 정치]#,5. 여야 2강 구도에서 3강으로...본격 공약 경쟁 '시동'#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=052&aid=0001616310
6#,[뉴스 경제]#,"1. 포스코-두산重, 암모니아 연료 발전기술 공동개발(종합)#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=003&aid=0010616368
7#,[뉴스 경제]#,"2. [단독] F&F '테일러메이드 인수전' 4,000억 쏜다#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=011&aid=0003938779
8#,[뉴스 경제]#,"3. 신세계·네이버, 첫 협업 ‘지역명물 챌린지’#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=032&aid=0003086504
9#,[뉴스 경제]#,"4. 양구 해안면 주민, 대정부 항의 집회…개간비 60% 인정 요구#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=056&aid=0011085972
10#,[뉴스 경제]#,5. 거품과 기대 사이 ‘공모주’…청약해도 될까요?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=032&aid=0003086495
11#,[뉴스 IT/과학]#,"1. [속보] 서버 긴급 증설? 오후 10시 재개했지만 ""53~54세 백신 접종 예약 또 먹통""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=088&aid=0000712997
12#,[뉴스 IT/과학]#,"2. 삼성,1000인치 맞춤형 디스플레이 시대 연다#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=032&aid=0003086499
13#,[뉴스 IT/과학]#,3. '갤폴드3' 가격 낮춘 삼성전자..'폴더블폰 대중화' 본격 시동#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=018&aid=0004989204
14#,[뉴스 IT/과학]#,4. 2분기 바닥친 삼성 스마트폰…하반기 '폴더블폰'으로 반전 이룰까#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=469&aid=0000618294
15#,[뉴스 IT/과학]#,5. “내 손목 무사할까”…‘두손폰’ 삼성 신형 폴더블폰 무게는?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001863536
16#,[뉴스 CNBC]#,1. Monday's stock sell-off is picking up steam with the Dow now down more than 800 points#,https://www.cnbc.com/2021/07/18/stock-market-futures-open-to-close-news.html
17#,[뉴스 CNBC]#,"2. U.S., NATO and EU to blame China for cyberattack on Microsoft Exchange servers#",https://www.cnbc.com/2021/07/19/nato-and-eu-launch-a-cyber-security-alliance-to-confront-chinese-cyberattacks.html
18#,[뉴스 CNBC]#,"3. Viral video shows Malaysian police destroying 1,069 bitcoin mining rigs with a steamroller#",https://www.cnbc.com/2021/07/19/malaysian-police-steamroll-1point25-million-worth-of-bitcoin-mining-rigs.html
19#,[뉴스 CNBC]#,"4. Homebuilder confidence is still high, but it slipped this month as construction costs grew#",https://www.cnbc.com/2021/07/19/homebuilder-confidence-slips-in-july-as-construction-costs-rise.html
20#,[뉴스 CNBC]#,5. Psychotherapist says parents of mentally strong kids always do these 3 things when giving praise#,https://www.cnbc.com/2021/07/15/a-psychotherapist-shares-how-parents-of-confident-and-mentally-strong-kids-praise-their-children.html
20#,[경제 환율]#,"1,152.00@11.00(+0.96%) 상승"
21#,[경제 나스닥]#,"14,210.09@217.15(-1.51%) 하락"
22#,[경제 SP]#,"4,249.74@77.42(-1.79%) 하락"
