N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 07월 14일 (Wed)
1#,[뉴스 정치]#,"1. 윤석열, 'Y 공작설'에 힘 싣나…""이동훈, 없는 말 지어낼 사람 아냐""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=015&aid=0004578263
2#,[뉴스 정치]#,"2. ‘못 참겠다’ 이재명, 이낙연 집중 공격…물고 물리는 난타전#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=056&aid=0011083028
3#,[뉴스 정치]#,3. 與 “추경 2~4조 증액 가능”…정부는 “빚 내기 어렵다” 배수진#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=020&aid=0003370214
4#,[뉴스 정치]#,"4. 코로나발 與경선 연기 '성큼'...이재명도 ""당 결정 따를 것""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=469&aid=0000617361
5#,[뉴스 정치]#,"5. 김종민, 이낙연 비판한 추미애에 “정치적 의도로 사실 왜곡”#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=023&aid=0003626796
6#,[뉴스 경제]#,1. “낯선 가게는 싫어요”… 코로나에 ‘단골의 힘’ 세졌다#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=023&aid=0003626793
7#,[뉴스 경제]#,"2. 리콜에 운 LG, 중대형 흑자전환 삼성… K배터리 2분기 성적표는?#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=469&aid=0000617356
8#,[뉴스 경제]#,"3. [픽뉴스] 3천만 원 황금까지, 유괴아들 찾아 50만km, 청각장애인들의 눈물#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=057&aid=0001592925
9#,[뉴스 경제]#,4. [단독] 코인 조종 '마켓메이커' 존재했다…일부 거래소도 연루#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=437&aid=0000271168
10#,[뉴스 경제]#,"5. 삼성SDI, 2Q 배터리 첫 흑전 기대…하반기는 더 좋다#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=008&aid=0004616464
11#,[뉴스 IT/과학]#,1. “랍스터 전기충격 후 삶자는데…” 해산물 진짜 고통 느낄까?#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001861577
12#,[뉴스 IT/과학]#,"2. 실신·폭행 감지하는 'AI CCTV' 어떻게 만들까…""제일 어려운 건 실신 영상 구하기""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=469&aid=0000617350
13#,[뉴스 IT/과학]#,3. 내 손이 보조배터리?…땀으로 웨어러블 기기 충전기술 개발#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=008&aid=0004616457
14#,[뉴스 IT/과학]#,"4. 137만원→79만원→54만원’ 위아래로 접는 폴더블, 마지막 떨이!#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001861572
15#,[뉴스 IT/과학]#,5. `구글 갑질 방지법` 오늘 여당 단독처리 유력#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=029&aid=0002687108
16#,[뉴스 CNBC]#,1. 4 million refunds going out this week to taxpayers who overpaid on their 2020 unemployment benefits#,https://www.cnbc.com/2021/07/13/the-irs-is-sending-out-4-million-refunds-this-week-to-taxpayers-who-overpaid-on-their-2020-unemployment-benefits.html
17#,[뉴스 CNBC]#,2. This 30-year-old took his side hustle full-time—and is on track to make $200K in sales this year#,https://www.cnbc.com/2021/07/13/how-a-30-year-old-quit-his-job-and-turned-his-side-hustle-selling-yarn-into-a-6-figure-business.html
18#,[뉴스 CNBC]#,"3. Powell says the Fed is still a ways off from altering policy, expects inflation to moderate#",https://www.cnbc.com/2021/07/14/powell-says-the-fed-is-still-a-ways-off-from-altering-policy-expects-inflation-to-moderate.html
19#,[뉴스 CNBC]#,"4. Trump rioter, QAnon supporter thought he invaded White House, not Capitol, video shows#",https://www.cnbc.com/2021/07/13/trump-rioter-douglas-austin-jensen-thought-he-invaded-white-house-not-capitol.html
20#,[뉴스 CNBC]#,"5. Stocks making the biggest moves premarket: Bank of America, BlackRock, Delta, Peloton and more#",https://www.cnbc.com/2021/07/14/stocks-making-the-biggest-moves-premarket-bank-of-america-blackrock-delta-peloton-and-more.html
20#,[경제 환율]#,"1,150.00@4.50(+0.39%) 상승"
21#,[경제 나스닥]#,"14,677.65@55.59(-0.38%) 하락"
22#,[경제 SP]#,"4,369.21@15.42(-0.35%) 하락"
