N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 08월 03일 (Tue)
1#,[뉴스 정치]#,'박주민 너마저…' 검찰개혁파 이재명 캠프행에 추미애 곤혹#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=119&aid=0002516932
2#,[뉴스 정치]#,"정세균·이낙연, ‘경기도 100% 재난지원금’ 강력 반발…“심각한 편가르기” 맹공#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=022&aid=0003606295
3#,[뉴스 정치]#,‘YS 끌어안기’ 적극 나선 윤석열…정통성 강화 포석#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=005&aid=0001461689
4#,[뉴스 정치]#,채워진 국민의힘 배터리…국민의당 합당 시한선 임박#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=119&aid=0002516928
5#,[뉴스 정치]#,"윤석열 '쩍벌' 습관에 조응천 ""충심으로 드리는 말씀인데...""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=100&oid=018&aid=0005001287
6#,[뉴스 경제]#,"정용진 ""도쿄올림픽 야구, 이해불가""에 박찬호 ""일단 다 잊고요""#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=018&aid=0005001289
7#,[뉴스 경제]#,[현명한 금융생활 꿀팁]목돈 필요할 때 포인트 활용 용이 택시비 지불 시 분실물 찾기 쉬워#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=087&aid=0000854620
8#,[뉴스 경제]#,카카오뱅크 갔던 돈이 돌아왔다…28일 하루만에 25조 '컴백'#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=018&aid=0005001288
9#,[뉴스 경제]#,"‘뭐래? 난 무조건 산다!’ 2030, 전월세 대신 내집마련#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=005&aid=0001461681
10#,[뉴스 경제]#,"‘메모리의 힘’ 삼성, 인텔서 반도체 왕좌 탈환#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003123789
11#,[뉴스 IT/과학]#,두번째 시도 만에 소셜 카지노 품어···새로운 캐시카우 기대#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=011&aid=0003945047
12#,[뉴스 IT/과학]#,"'승부사' 방준혁, 성장 잠재력에 베팅···이종산업 넘나들며 수익·사업 확대#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=011&aid=0003945046
13#,[뉴스 IT/과학]#,"“김연경 손목의 그것!” 삼성, 스마트워치 신제품 유출#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001869745
14#,[뉴스 IT/과학]#,"넷마블, 2조5000억 통 큰 베팅…'소셜카지노' 스핀엑스 인수#",https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=015&aid=0004586769
15#,[뉴스 IT/과학]#,방준혁의 야심…60억달러 소셜카지노 게임 시장 노린다#,https://news.naver.com/main/read.naver?mode=LSD&mid=shm&sid1=105&oid=015&aid=0004586768
16#,[뉴스 CNBC]#,There’s an unemployment cliff coming. More than 7.5 million may fall off#,https://www.cnbc.com/2021/08/01/an-unemployment-cliff-is-coming-more-than-7point5-million-may-fall-off.html
17#,[뉴스 CNBC]#,The 11 worst U.S. states for retirement in 2021#,https://www.cnbc.com/2021/08/02/bankrate-worst-states-for-retirement-in-the-us.html
18#,[뉴스 CNBC]#,CDC says 74% of people infected in Massachusetts Covid outbreak were fully vaccinated#,https://www.cnbc.com/2021/07/30/cdc-study-shows-74percent-of-people-infected-in-massachusetts-covid-outbreak-were-fully-vaccinated.html
19#,[뉴스 CNBC]#,Goldman Sachs joins Wall Street rivals in boosting junior banker salaries#,https://www.cnbc.com/2021/08/02/goldman-sachs-joins-wall-street-rivals-in-boosting-junior-banker-salaries-.html
20#,[뉴스 CNBC]#,Reese Witherspoon's Hello Sunshine to be sold to Blackstone-backed company for $900 million#,https://www.cnbc.com/2021/08/02/reese-witherspoons-hello-sunshine-to-be-sold-for-900-million.html
20#,[경제 환율]#,"1,151.00@1.00(-0.09%) 하락"
21#,[경제 나스닥]#,"14,714.74@42.06(+0.29%) 상승"
22#,[경제 SP]#,"4,396.79@1.53(+0.03%) 상승"
